sen,words,label
فهمت الدرس,فهمت : فعل ماض مبني على السكون لاتصاله بالتاء المتحركة،التاء : ضمير متصل مبني على الضم في محل رفع فاعل,1
فهمت الدرس,الدرس : مفعول به منصوب وعلامة نصبه الفتحة الظاهرة على آخره,1
جاء الذي كتب,"جاء : فعل ماض مبني على الفتح،والفاعل ضمير مستتر تقديره ""هو""",1
جاء الذي كتب,الذي : اسم موصول مبني على السكون في محل رفع فاعل,1
جاء الذي كتب,كتب : فعل ماض مبني على الفتحة الظاهرة على آخره،والفاعل ضمير مستتر تقديره هو,1
دخل الولد إلى الصف,دخل : فعل ماض مبني على الفتح الظاهر على آخره,1
دخل الولد إلى الصف,​الولد : فاعل مرفوع وعلامة رفعة الضمة الظاهرة على آخره,1
دخل الولد إلى الصف,​إلى : حرف جر مبني على السكون المقدر على آخره,1
دخل الولد إلى الصف,​الصف : اسم مجرور وعلامة جره الكسرة الظاهرة على آخره ,1
دخل الولد إلى الصف,​,1
نحن المسلمين موحدون,نحن : ضمير منفصل مبني على الضم في محل رفع مبتدأ,1
نحن المسلمين موحدون,المسلمين : منصوب على الاختصاص أو مفعول به منصوب وعلامة نصبه الياء لفعل محذوف وجوبا تقديره أخص،وفاعله ضمير مستتر فيه وجوبا،والجملة من الفعل والفاعل لا محل لها من الإعراب لأنها جملة اعتراضية,1
نحن المسلمين موحدون,موحدون : خبر المبتدأ مرفوع وعلامة رفعه الواو لأنه جمع مذكر سالم,1
هذا لئيم,هذا : اسم إشارة،مبني على السكون في محل رفع مبتدأ,1
هذا لئيم,لئيم : خبر مرفوع وعلامة رفعه الضمة الظاهرة على آخره,1
أذنا الحصان صغيرتان,أذنا : مبتدأ مرفوع وعلامة رفعه الألف نيابة عن الضمة لأنه مثنى وحذفت النون للإضافة وهو مضاف,1
أذنا الحصان صغيرتان,الحصان : مضاف إليه مجرور وعلامة جره الكسرة الظاهرة على آخره,1
أذنا الحصان صغيرتان,صغيرتان : خبرمرفوع وعلامة رفعه الألف نيابة عن الضمة لأنه مثنى,1
أي طالب جاء؟,أي : مبتدأ مرفوع وعلامة رفعه الضمة الظاهرة على آخره وهو مضاف,1
أي طالب جاء؟,طالب : مضاف إليه مجرور وعلامة جرة الكسرة الظاهرة على آخره,1
أي طالب جاء؟,"جاء : فعل ماض مبني على الفتح والفاعل ضمير مستتر جوازا تقديره ""هو""",1
أيها الطالب اهتم بدراستك,أيها : أي : منادى مبني على الضم في محل نصب,1
أيها الطالب اهتم بدراستك,"أداة النداء محذوفة تقديرها""يا""،ها : حرف تنبيه مبني على السكون لا محل له من الإعراب",1
أيها الطالب اهتم بدراستك,الطالب : نعت تابع للمنادى في رفعه وعلامة رفعه الضمة الظاهرة على آخره,1
أيها الطالب اهتم بدراستك,"اهتم : فعل أمر مبني على السكون، والفاعل ضمير مستتر وجوبا تقديره ""أنت""",1
أيها الطالب اهتم بدراستك,بدراستك : الباء : حرف جر مبني على الكسر,1
أيها الطالب اهتم بدراستك,"دراستك : اسم مجرور ب""الباء""،وعلامة جره الكسرة الظاهرة على آخره،وهو مضاف،الكاف : ضمير متصل مبنيعلى الفتح في محل جر مضاف إليه",1
رأيت القمر في السماء,رأيت : رأى : فعل ماض مبني على السكون لاتصاله بتاء الفاعل،التاء : ضمير متصل مبني على الضم في محل رفع فاعل,1
رأيت القمر في السماء,القمر : مفعول به منصوب وعلامة نصبه الفتحة الظاهرة على آخره,1
رأيت القمر في السماء,في : حرف جر,1
رأيت القمر في السماء,"السماء : اسم مجرور بـ ""في"" وعلامة جره الكسرة الظاهرة على آخره",1
رأيت زيدا كتابه في يده,رأيت : رأى : فعل ماض مبني على السكون لاتصاله بتاء الفاعل,1
رأيت زيدا كتابه في يده,التاء : ضمير متصل مبني على الضم في محل رفع فاعل,1
رأيت زيدا كتابه في يده,زيدا : مفعول به أول منصوب وعلامة نصبه الفتحة الظاهرة على آخره,1
رأيت زيدا كتابه في يده,كتابه : (كتاب) مبتدأ مرفوع بالضمة الظاهرة، وهو مضاف، و(الهاء) ضمير متصل مبني على الضم في محل جر بالإضافة,1
رأيت زيدا كتابه في يده," في يده : (في) حرف جر، و(يده) : اسم مجرور بـ""في"" وعلامة جره الكسرة، وهو مضاف، و(الهاء)ضمير متصل مبني على الكسر في محل جر بالإضافة",1
كل من تلقاه يشكو دهره,كل : مبتدأ مرفوع وعلامة رفعه الضمة الظاهرة على آخره، وهو مضاف,1
كل من تلقاه يشكو دهره,من : اسم موصول مبني في محل جر مضاف إليه,1
كل من تلقاه يشكو دهره,تلقاه : تلقى : فعل مضارع مرفوع وعلامة رفعه الضمة المقدرة على الألف للتعذر,1
كل من تلقاه يشكو دهره,هاء : ضمير متصل في محل نصب مفعول به,1
كل من تلقاه يشكو دهره,"يشكو : فعل مضارع مرفوع وعلامة رفعه الضمة المقدرة على الواو للثقل،والفاعل ضمير مستتر تقديره ""هو""",1
كل من تلقاه يشكو دهره,دهره : دهر : مفعول به منصوب وعلامة نصبه الفتحة الظاهرة على آخره،وهو مضاف,1
كل من تلقاه يشكو دهره,هاء : ضمير متصل في محل جر مضاف إليه,1
أصادق قول علي,أصادق : الهمزة حرف استفهام،صادق : مبتدأ مرفوع بالضمة,1
أصادق قول علي,"قول : فاعل لاسم الفاعل ""صادق"" وهو مضاف",1
أصادق قول علي,علي : مضاف إليه مجرور بالكسرة,1
هذان الضاربان زيدا,هذان : اسم إشارة مرفوع بالألف، وهو مبتدأ,1
هذان الضاربان زيدا,الضاربان : خبر مرفوع بالألف,1
هذان الضاربان زيدا,"زيدا : مفعول به لاسم الفاعل ""الضاربان""",1
وأنطقت الدراهم بعد صمت أناسا بعدما كانوا سكوتا,و : حرف عطف,1
وأنطقت الدراهم بعد صمت أناسا بعدما كانوا سكوتا,أنطقت : فعل ماض مبني على الفتح، والتاء تاء التأنيث الساكنة لا محل لها من الإعراب,1
وأنطقت الدراهم بعد صمت أناسا بعدما كانوا سكوتا,الدراهم : فاعل مرفوع وعلامة رفعه الضمة الظاهرة على آخره,1
وأنطقت الدراهم بعد صمت أناسا بعدما كانوا سكوتا,بعد : ظرف زمان منصوب وهو مضاف,1
وأنطقت الدراهم بعد صمت أناسا بعدما كانوا سكوتا,صمت : مضاف إليه مجرور وعلامة جره الكسرة الظاهرة على آخره,1
وأنطقت الدراهم بعد صمت أناسا بعدما كانوا سكوتا,أناسا : مفعول به منصوب وعلامة نصبه الفتحة الظاهرة على آخره,1
وأنطقت الدراهم بعد صمت أناسا بعدما كانوا سكوتا,بعدما : بعد : ظرف زمان مبني على الفتح وهو مضاف،ما : مصدرية زمانية مبنية على السكون لا محل لها من الإعراب,1
وأنطقت الدراهم بعد صمت أناسا بعدما كانوا سكوتا,"كانوا : كان : فعل ماض ناقص مبني على الضم لاتصاله بواو الجماعة،واو الجماعة : ضمير متصل مبني على السكون في محل رفع اسم ""كان""",1
وأنطقت الدراهم بعد صمت أناسا بعدما كانوا سكوتا,"سكوتا : خبر ""كان"" منصوب وعلامة نصبه الفتحة الظاهرة على آخره",1
الكريم محبوب,الكريم : مبتدأ مرفوع،وعلامة رفعه الضمة الظاهرة على آخره,1
الكريم محبوب,محبوب : خبر مرفوع وعلامة رفعه الضمة الظاهرة على آخره,1
وصل غاضبا,"وصل : فعل ماض مبني على الفتح والفاعل ضمير مستتر جوازا تقديره ""هو""",1
وصل غاضبا,غاضبا : حال منصوب وعلامة نصبه الفتحة الظاهرة على آخره,1
و إن الساعة لآتية,إن : حرف توكيد ونصب مشبه بالفعل,1
و إن الساعة لآتية,ينصب المبتدأ ويرفع الخبر،مبني على الفتح،لا محل له من الإعراب,1
و إن الساعة لآتية,الساعة : اسم إن منصوب وعلامة نصبه الفتحة الظاهرة على آخره ,1
و إن الساعة لآتية,لآتية : خبر إن مرفوع وعلامة رفعه الضمة الظاهرة على آخره،واللام للتوكيد,1
المجتهد ينجح,المجتهد : مبتدأ مرفوع وعلامة رفعه الضمة الظاهرة على آخره,1
المجتهد ينجح,ينجح : فعل مضارع مرفوع وعلامة رفعه الضمة الظاهرة على آخره،والفاعل ضمير مستتر تقديره هو,1
يسعدني أن تصدق,يسعدني : فعل مضارع مرفوع، وعلامة رفعه الضمة الظاهرة على آخره،النون : نون الوقاية حرف مبني على الكسر لا محل له من الإعراب،الياء : ضمير متصل مبني على السكون في محل نصب مفعول به,1
يسعدني أن تصدق,أن : حرف نصب ومصدر مبني على السكون,1
يسعدني أن تصدق,"تصدق : فعل مضارع منصوب ب ""أن"" وعلامة نصبه الفتحة الظاهرة على آخره،والفاعل ضمير مستتر وجوبا تقديره ""أنت""",1
إن تذاكر فستنجح,إن : أداة جزم,1
إن تذاكر فستنجح,"تذاكر : فعل مضارع مجزوم وعلامة جزمه السكون (فعل الشرط)، والفاعل ضمير مستتر تقديره ""أنت""",1
إن تذاكر فستنجح,"فستنجح : الفاء : رابطة لجواب الشرط،لا محل لها من الإعراب،ستنجح : فعل مضارع مجزوم وعلامة جزمه السكون (جواب الشرط)، والفاعل ضمير مستتر تقديره ""أنت""",1
قرأ أحمد الكتاب بسرعة,قرأ : فعل ماض مبني على الفتح,1
قرأ أحمد الكتاب بسرعة,أحمد : فاعل مرفوع وعلامة رفعه الضمة الظاهرة على آخره,1
قرأ أحمد الكتاب بسرعة,الكتاب : مفعول به منصوب وعلامة نصبه الفتحة الظاهرة على آخره,1
قرأ أحمد الكتاب بسرعة,بسرعة : الباء : حرف جر,1
قرأ أحمد الكتاب بسرعة,سرعة : اسم مجرور وعلامة جره الكسرة الظاهرة على آخره,1
فهم الولدان الأمر,فهم : فعل ماض مبني على الفتح,1
فهم الولدان الأمر,الولدان : فاعل مرفوع وعلامة رفعه الألف لأنه مثنى,1
فهم الولدان الأمر,الأمر : مفعول به منصوب وعلامة نصبه الفتحة الظاهرة على آخره,1
تعمل الممرضات في المستشفى,تعمل : فعل مضارع مرفوع وعلامة رفعه الضمة الظاهرة على آخره,1
تعمل الممرضات في المستشفى,الممرضات : فاعل مرفوع وعلامة رفعه الضمة الظاهرة على آخره,1
تعمل الممرضات في المستشفى,في : حرف جر مبني على الفتحة,1
تعمل الممرضات في المستشفى,"المستشفى : اسم مجرور ب ""في"" وعلامة جره الكسرة المقدرة على الألف",1
الطالب المجتهد يقرأ الكتاب,الطالب : مبتدأ مرفوع وعلامة رفعه الضمة الظاهرة على آخره,1
الطالب المجتهد يقرأ الكتاب,المجتهد : نعت (صفة) مرفوع وعلامة رفعه الضمة الظاهرة على آخره,1
الطالب المجتهد يقرأ الكتاب,"يقرأ : فعل مضارع مرفوع وعلامة رفعه الضمة الظاهرة على آخره،والفاعل ضمير مستتر تقديره ""هو"" يعود على الطالب",1
الطالب المجتهد يقرأ الكتاب,الكتاب : مفعول به منصوب وعلامة نصبه الفتحة الظاهرة على آخره,1
لعبنا في فناء,لعبنا : لعب : فعل ماض مبني على السكون أو على الفتح المقدر،لاتصاله بضمير رفع متحرك,1
لعبنا في فناء,نا : ضمير رفع متصل ،مبني على السكون في محل رفع فاعل,1
لعبنا في فناء,في : حرف جر مبني على السكون لامحل له من الإعراب,1
لعبنا في فناء,فناء : اسم مجرور بفي وعلامة جره الكسرة الظاهرة على آخره,1
نحن صائمون,نحن : ضمير منفصل،مبني على الضم في محل رفع مبتدأ,1
نحن صائمون,صائمون : خبر مرفوع وعلامة رفعه الواو لأنه جمع مذكر سالم,1
هؤلاء الضوارب بكرا,هؤلاء : اسم إشارة مبني على الكسر في محل رفع مبتدأ,1
هؤلاء الضوارب بكرا,الضوارب : مبتدأ مرفوع بالضمة,1
هؤلاء الضوارب بكرا,"بكرا : مفعول به لاسم الفاعل ""الضوارب""",1
يسبح لله من في الأرض,يسبح : فعل مضارع مرفوع وعلامة رفعه الضمة الظاهرة على آخره,1
يسبح لله من في الأرض,لله : اللام : حرف جر مبني على الكسر،الله : اسم جلالة مجرور باللام وعلامة جره الكسرة الظاهرة على آخره,1
يسبح لله من في الأرض,من : اسم موصول مبني على السكون في محل رفع فاعل,1
يسبح لله من في الأرض,في : حرف جر مبني على السكون,1
يسبح لله من في الأرض,الأرض : اسم مجرور بفي،وعلامة جره الكسرة الظاهرة على آخره,1
وكان الله بكل شيء محيطا,و : حرف استئناف أو عطف,1
وكان الله بكل شيء محيطا,كان : فعل ماض ناقص مبني على الفتح,1
وكان الله بكل شيء محيطا,"الله : اسم ""كان"" مرفوع وعلامة رفعه الضمة الظاهرة على آخره",1
وكان الله بكل شيء محيطا,بكل : الباء حرف جر،كل : اسم مجرور بالباء وعلامة جره الكسرة الظاهرة على آخره، وهو مضاف,1
وكان الله بكل شيء محيطا,شيء : مضاف إليه مجرور وعلامة جره الكسرة الظاهرة على آخره,1
وكان الله بكل شيء محيطا,"محيطا : خبر ""كان"" منصوب وعلامة نصبه الفتحة الظاهرة على آخره",1
قال زيد : إن عليا ناجح,قال : فعل ماض مبني على الفتح,1
قال زيد : إن عليا ناجح,زيد : فاعل مرفوع وعلامة رفعه الضمة الظاهرة على آخره,1
قال زيد : إن عليا ناجح,إن : حرف توكيد ونصب,1
قال زيد : إن عليا ناجح,عليا : اسم إن منصوب وعلامة نصبه الفتحة الظاهرة على آخره,1
قال زيد : إن عليا ناجح,ناجح : خبر إن مرفوع وعلامة رفعه الضمة الظاهرة على آخره,1
خرج ما في الحظيرة,خرج : فعل ماض مبني على الفتح,1
خرج ما في الحظيرة,ما : اسم موصول مبني على السكون في محل رفع فاعل,1
خرج ما في الحظيرة,في : حرف جر مبني على السكون,1
خرج ما في الحظيرة,"الحظيرة : اسم مجرور ب""في""،وعلامة جره الكسرة الظاهرة على آخره",1
نام عمر باكرا,نام : فعل ماض مبني على الفتح الظاهر على آخره,1
نام عمر باكرا,عمر : فاعل مرفوع وعلامة رفعه الضمة الظاهرة على آخره,1
نام عمر باكرا,باكرا : مفعول فيه،ظرف زمان منصوب وعلامة نصبه الفتحة الظاهرة على آخره,1
القمر نوره ساطع,القمر : مبتدأ أول مرفوع وعلامة رفعه الضمة,1
القمر نوره ساطع,نوره : نور : مبتدأ ثان مرفوع وعلامة رفعه الضمة،وهو مضاف،الهاء : ضمير مبني في محل جر مضاف إليه,1
القمر نوره ساطع,ساطع : خبر المبتدأ الثاني مرفوع وعلامة رفعه الضمة,1
ما حضر إلا زيد,ما : حرف نفى مبني على السكون,1
ما حضر إلا زيد,حضر : فعل ماض مبني على الفتح,1
ما حضر إلا زيد,إلا : حرف استثناء ملغى,1
ما حضر إلا زيد,زيد : فاعل مرفوع وعلامة رفعه الضمة الظاهرة على آخره,1
لتلتمس رضا الله,لتلتمس : لـ : لام الأمر،حرف مبني على الكسر لا محل له من الإعراب,1
لتلتمس رضا الله,"تلتمس : فعل مضارع مجزوم بلام الأمر وعلامة جزمه السكون الظاهر على آخره،والفاعل ضمير مستتر وجوبا تقديره ""أنت""",1
لتلتمس رضا الله,رضا : مفعول به منصوب،وعلامة نصبه الفتحة المقدرة على آخره منع من ظهورها التعذر،وهو مضاف,1
لتلتمس رضا الله,لفظ الجلالة : الله : مضاف إليه مجرور، وعلامة جره الكسرة الظاهرة على آخره,1
رأيت الرجل ماشيا,رأيت : فعل ماض، والتاء ضمير متصل في محل رفع فاعل,1
رأيت الرجل ماشيا,الرجل : مفعول به منصوب بالفتحة,1
رأيت الرجل ماشيا,ماشيا : حال منصوب بالفتحة,1
يسعدني أن تشاركني في المسابقة,يسعدني : فعل مضارع مرفوع وعلامة رفعه الضمة الظاهرة على آخره،النون : للوقاية حرف مبني على الكسر لا محل له من الإعراب،الياء : ضمير متصل مبني على السكون في محل نصب مفعول به,1
يسعدني أن تشاركني في المسابقة,أن : حرف مصدري ونصب,1
يسعدني أن تشاركني في المسابقة,"تشاركني : فعل مضارع منصوب وعلامة نصبه الفتحة الظاهرة على آخره،والفاعل ضمير مستتر وجوبا تقديره ""أنت"" والنون للوقاية،الياء : ضمير متصل مبني على السكون في محل نصب مفعول به",1
يسعدني أن تشاركني في المسابقة,في حرف جر,1
يسعدني أن تشاركني في المسابقة,المسابقة : اسم مجرور وعلامة جره الكسرة الظاهرة على آخره,1
أعشق الجهاد فقط,"أعشق : فعل مضارع مرفوع وعلامة رفعه الضمة الظاهرة على آخره،والفاعل ضمير مستتر تقديره ""أنا""",1
أعشق الجهاد فقط,الجهاد : مفعول به منصوب وعلامة نصبه الفتحة الظاهرة على آخره,1
أعشق الجهاد فقط,فقط : حال أو ظرف بمعنى حصرا،منصوب وعلامة نصبه الفتحة الظاهرة على آخره,1
ليقض علينا ربك,ليقض : اللام : لام الأمر،حرف مبني على الكسر لا محل له من الإعراب,1
ليقض علينا ربك,يقض : فعل مضارع مجزوم بلام الأمر،وعلامة جزمه حذف حرف العلة,1
ليقض علينا ربك,علينا : على : حرف جر مبني على السكون،نا : ضمير متصل مبني على السكون في محل جر،والضمائر كلها أسماء,1
ليقض علينا ربك,ربك : رب : فاعل مرفوع وعلامة رفعه الضمة الظاهرة على آخره،وهو مضاف،الكاف : ضمير متصل مبني على الفتح في محل جر مضاف إليه,1
كيف أنت؟,كيف : اسم استفهام مبني على الفتح في محل رفع خبر مقدم,1
كيف أنت؟,أنت : ضمير منفصل مبني على الفتح في محل رفع مبتدأ مؤخر,1
سور الحديقة مرتفع,سور : مبتدأ مرفوع وعلامة رفعه الضمة الظاهرة على آخره,1
سور الحديقة مرتفع,الحديقة : مضاف إليه مجرور وعلامة جره الكسرة الظاهرة على آخره,1
سور الحديقة مرتفع,مرتفع : خبرمرفوع وعلامة رفعه الضمة الظاهرة على آخره,1
فما زلتم في شك,فما : الفاء حرف عطف،ما : نافية لا عمل لها,1
فما زلتم في شك,"زلتم : زال : فعل ماض ناقص مبني على السكون لاتصاله بضمير رفع متحرك وهو"" التاء""،التاء : ضمير متصل مبني على الضم في محل رفع اسم زال",1
فما زلتم في شك,الميم : ميم الجمع,1
فما زلتم في شك,حرف مبني على السكون,1
فما زلتم في شك,في : حرف جر,1
فما زلتم في شك,"شك : اسم مجرور بـ""في"" وعلامة جره الكسرة الظاهرة على آخره",1
خرج جميع الأطفال,خرج : فعل ماض مبني على الفتح,1
خرج جميع الأطفال,جميع : فاعل مرفوع وعلامة رفعه الضمة الظاهرة على آخره،وهو مضاف,1
خرج جميع الأطفال,الأطفال : مضاف إليه مجرور وعلامة جره الكسرة الظاهرة على آخره,1
إن الذي يلتمس رضا جميع الناس يطلب أمرا لا يمكن إداركه,إن : حرف توكيد ونصب مشبه بالفعل مبني على الفتح لا محل له من الإعراب,1
إن الذي يلتمس رضا جميع الناس يطلب أمرا لا يمكن إداركه,"الذي : اسم موصول مبني على السكون في محل نصب اسم ""إن""",1
إن الذي يلتمس رضا جميع الناس يطلب أمرا لا يمكن إداركه," يلتمس : فعل مضارع مرفوع وعلامة رفعه الضمة الظاهرة على آخره،والفاعل ضمير مستتر جوازا تقديره ""هو""",1
إن الذي يلتمس رضا جميع الناس يطلب أمرا لا يمكن إداركه,رضا : مفعول به منصوب وعلامة نصبه الفتحة المقدرة على آخره وهو مضاف,1
إن الذي يلتمس رضا جميع الناس يطلب أمرا لا يمكن إداركه,جميع : مضاف إليه مجرور وعلامة جره الكسرة الظاهرة على آخره وهو مضاف,1
إن الذي يلتمس رضا جميع الناس يطلب أمرا لا يمكن إداركه,الناس : مضاف إليه مجرور وعلامة جره الكسرة الظاهرة على آخره ,1
إن الذي يلتمس رضا جميع الناس يطلب أمرا لا يمكن إداركه," يطلب : فعل مضارع مرفوع وعلامة رفعه الضمة الظاهرة على آخره،والفاعل ضمير مستتر جوازا تقديره ""هو""، والجملة الفعلية "" يطلب "" في محل رفع خبر ""إن""",1
إن الذي يلتمس رضا جميع الناس يطلب أمرا لا يمكن إداركه,أمرا : مفعول به منصوب وعلامة نصبه الفتحة الظاهرة على آخره,1
إن الذي يلتمس رضا جميع الناس يطلب أمرا لا يمكن إداركه,"لا : حرف نفي يدخل على الأسماء, والأفعال، دون أن يؤثر في الإعراب",1
إن الذي يلتمس رضا جميع الناس يطلب أمرا لا يمكن إداركه,يمكن : فعل مضارع مرفوع وعلامة رفعه الضمة الظاهرة على آخره,1
إن الذي يلتمس رضا جميع الناس يطلب أمرا لا يمكن إداركه,إدراكه : فاعل مرفوع وعلامة رفعه الضمة الظاهرة على آخره,1
إن الذي يلتمس رضا جميع الناس يطلب أمرا لا يمكن إداركه,وهو مضاف ،الهاء : ضمير متصل مبني على الضم في محل جر بالإضافة,1
والله ليفلحن المجد,"والله : الواو : حرف قسم وجر،الله : لفظ الجلالة،اسم مجرور بحرف القسم ""الواو"" وعلامة جره الكسرة الظاهرة على آخره",1
والله ليفلحن المجد,ليفلحن : اللام : لام القسم،يفلحن : فعل مضارع مبني على الفتح لاتصاله بنون التوكيد المباشرة,1
والله ليفلحن المجد,المجد : فاعل مرفوع وعلامة رفعه الضمة الظاهرة على آخره,1
الصدق يسمو بالفرد,الصدق : مبتدأ مرفوع وعلامة رفعه الضمة الظاهرة على آخره,1
الصدق يسمو بالفرد,"يسمو : فعل مضارع مرفوع وعلامة رفعه الضمة المقدرة على الواو منع من ظهورها الثقل،والفاعل ضمير مستتر تقديره ""هو"" يعود على ""الصدق""",1
الصدق يسمو بالفرد,بالفرد : الباء حرف جر،الفرد : اسم مجرور بالباء وعلامة جره الكسرة الظاهرة على آخره,1
ظننت أنك نائم,ظننت : فعل ماض، والتاء ضمير متصل في محل رفع فاعل,1
ظننت أنك نائم,"أنك : أن حرف ناسخ،والكاف ضمير متصل في محل نصب اسم ""أن""",1
ظننت أنك نائم,"نائم : خبر ""أن"" مرفوع بالضمة",1
جاء اللذان نجحا,جاء : فعل ماض مبني على الفتح,1
جاء اللذان نجحا,اللذان : فاعل مرفوع وعلامة رفعه الألف لأنه مثنى,1
جاء اللذان نجحا,نجحا : فعل ماض مبني على الفتح،الألف : ضمير متصل مبني في محل رفع فاعل,1
أحب الفتى يبتسم,أحب : فعل مضارع مرفوع وعلامة رفعه الضمة الظاهرة على آخره،والفاعل ضمير مستتر تقديره أنا,1
أحب الفتى يبتسم,الفتى : مفعول به منصوب وعلامة نصبه الفتحة المقدرة على آخره منع من ظهورها التعذر,1
أحب الفتى يبتسم,يبتسم : فعل مضارع مرفوع وعلامة رفعه الضمة الظاهرة على آخره،والفاعل ضمير مستتر تقديره هو,1
الطالب يذاكر دروسه,الطالب : مبتدأ مرفوع وعلامة رفعه الضمة,1
الطالب يذاكر دروسه,"يذاكر : فعل مضارع،والفاعل ضمير مستتر تقديره ""هو"" عائد على الطالب",1
الطالب يذاكر دروسه,"دروسه : دروس : مفعول به منصوب وعلامة نصبه الفتحة،و""دروس"" مضاف،الهاء : ضمير متصل مبني في محل جر مضاف إليه",1
سافر أبي إلى مكة,سافر : فعل ماض مبني على الفتح,1
سافر أبي إلى مكة,أبي : فاعل مرفوع وعلامة رفعه الضمة المقدرة على ما قبل ياء المتكلم،وهو مضاف،والياء ضمير متصل في محل جر مضاف إليه,1
سافر أبي إلى مكة,إلى : حرف جر,1
سافر أبي إلى مكة,"مكة : اسم مجرور بـ ""إلى"" وعلامة جره الفتحة الظاهرة على آخره لأنه ممنوع من الصرف",1
ما أهملت واجبى قط,ما : حرف نفي مبني على السكون لا محل له من الإعراب,1
ما أهملت واجبى قط,أهملت : فعل ماض مبني على السكون لاتصاله بضمير رفع،التاء : ضمير متصل مبني على الضم في محل رفع فاعل,1
